PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AL,2701902,Chã Preta,28795.2941797794,30968.8160532452,39809.7977486196,34269.95160345,36560.0840708874,33022.7304799151,33471.1401089925,34526.3278597101,40622,38542.7830484176,44718.5194943325,32789.1680900349,45546.5956430821,45388.4633462314,52464.8343982128,66609.747601002,67729.7784285312,64956.5647829912,71271.8489493581,81911.1418513976,
AL,2702009,Coité do Nóia,47790.7041235568,44315.8302241719,36086.7493505228,39011.7371878462,41258.3879420588,39477.6010230866,45454.6446705493,43844.2295563043,44894,41449.9478624124,54306.0688102386,53243.1171764063,52531.6905387681,57493.3794365905,52529.5415771035,62579.654102369,57732.3482695116,73534.6205796655,77703.6137836868,98722.2727590369,
AL,2702108,Colônia Leopoldina,134752.832752966,167296.986397057,168786.028304546,170745.120865483,130604.388759969,123479.27700881,171085.39730522,170168.261051557,150666,183989.651192469,113841.243465031,106820.3712107,131206.771414754,150708.29699083,144024.223760323,154315.988287165,150880.264939154,148072.739400823,194430.54115196,185494.745720649,
AL,2702207,Coqueiro Seco,20614.0389481777,17905.3841494915,18154.7922501337,19232.4372338105,20297.0157120576,21432.6486374947,23112.6347227399,23669.8989921282,25725,21710.9542491949,27437.8385016578,37980.2228464944,35178.4988262199,34107.8693419077,38868.714221887,41022.998504154,40421.310726706,42029.4954973885,41067.6733620885,44830.3048300905,
AL,2702306,Coruripe,858523.826292198,919744.158119113,822949.331341868,815157.406190132,817294.376120299,756076.705526201,793345.736836656,751903.924792817,703927,972531.103314107,758283.637259557,824194.702687348,787111.534433529,850862.925512701,932025.710754699,842115.144517201,745292.255686657,787543.846689499,915424.624355087,832056.918259363,
AL,2702355,Craíbas,71435.4930142539,70827.4586276157,64494.5422640093,68322.0677802193,72942.6115940541,86541.2508512315,100608.604577486,93258.1660029281,105616,92823.3998803121,118029.488692506,94647.4472522955,95924.9973445382,125753.008813839,98911.9011595916,120290.274805311,127134.025895794,139676.167328674,166759.915201187,224395.197555439,
AL,2702405,Delmiro Gouveia,283895.411553094,318549.773358771,358069.300607133,345906.478138972,364204.671003683,408383.530142925,367505.401293266,338343.701144498,343733,430812.467593094,443942.020366526,380357.532100194,353628.451367524,333426.625335896,290146.990145847,291093.17611004,304183.758908182,321019.986443918,327641.636400931,314534.751494388,
AL,2702504,Dois Riachos,38826.4135732261,29114.3101121059,35161.0887387802,36663.6542561776,45296.7553486483,41653.7831680552,46754.1583539531,43374.7565013095,38292,40986.5001848559,38293.7496048511,44303.3651000331,42686.6090647132,45850.6872114459,44335.8364540434,47679.4450693119,43159.5946666999,43770.1660193048,45390.6974450242,49130.5335786306,
AL,2702553,Estrela de Alagoas,47424.8244834604,39385.646907827,44033.7925440302,48688.3064595442,47384.9038741675,51632.0525238132,56093.4731859079,57304.9870107165,57879,60873.2062052627,59172.5412105514,63337.2325403845,63706.0719391116,64716.8274667165,62590.239126392,64010.9308550721,68048.3469621832,65586.9819313418,66956.2128470328,72041.902142145,
AL,2702603,Feira Grande,94774.1739665501,86079.1469650597,65032.0663866662,66795.2592170771,69740.311897586,82321.4338077232,89882.1402511442,88123.236699336,95294,88358.792373015,108154.56947739,106476.687585444,105719.916557224,118317.651029482,115772.561949363,174148.870216135,190290.237692299,184452.079065936,184762.840810239,199581.122480956,
AL,2702702,Feliz Deserto,67550.5242783676,59507.8941527629,62133.5559475453,75004.0688037409,82301.7492467286,108915.161499277,99260.604330064,73543.5503932965,67862,81948.9971035435,60063.7300051254,81842.8455196955,56701.7973552549,59323.0727190719,68401.1975444185,66590.7781357033,73407.2084538179,57858.4722383271,66932.9934793998,76567.132004102,
AL,2702801,Flexeiras,72650.4089412103,73754.9175284682,56822.5258592719,60053.6785357828,62382.223066058,60459.3093097466,72608.4795222038,74014.1076816746,64962,59999.8565977559,54698.6366189809,60565.4877478167,67501.4371559566,67953.0803153032,75387.0353281858,107261.311736242,84538.9534100505,119681.492960399,142431.295050857,138998.872482526,
AL,2702900,Girau do Ponciano,206838.709436627,143249.135876691,132068.823920131,119212.599207216,121909.809700217,130658.547205907,148073.662619557,148058.573898083,161139,147722.562417312,194434.81591253,174296.922969147,169552.131830073,180512.13520798,183310.997108573,197598.800834813,201304.861864101,213617.581148452,253953.917791944,256521.342008683,
AL,2703007,Ibateguara,63498.0321594945,68603.437206276,61480.4279780283,67750.1361494277,63086.0461744571,72495.9750683184,77470.6980134504,78664.3846629049,76484,58409.1786128359,63720.8540795959,76017.7262971979,79486.5292216669,81820.4820638247,77665.1086556021,85960.4379604421,78860.3521769195,80250.6421253292,77221.2841924023,91710.3604672631,
AL,2703106,Igaci,99619.5249896167,82527.8563638065,93031.2967707803,97403.6510365959,100956.322435874,97652.1147531327,108050.416017254,105618.42657323,104989,107742.353006433,110728.92482448,123489.822599526,109161.93290354,111064.028147621,105961.811738143,111323.836901353,115491.634319442,122830.769356571,138652.342968593,145603.728818077,
AL,2703205,Igreja Nova,208878.616568018,212458.869465851,215496.763300386,221233.308360677,183895.903838877,205624.009421249,249459.059837108,193958.509949238,175263,241183.895256173,242287.891003901,234214.026099873,227707.159404411,234180.85218715,210724.637514488,235543.850614685,205448.009613343,216442.097195473,231195.771234242,266928.343715147,
AL,2703304,Inhapi,53745.0564464644,37201.0337439806,41217.4405901473,48434.7232381998,47655.4324251343,53250.5515428498,63505.0491713527,59731.5013226758,61240,63052.8874138501,94850.8826255683,70926.1170341572,70080.3675345941,70814.2048934562,66508.8297539193,68614.391740316,68974.7723670314,74157.1715603896,74480.8710988127,81570.3725302475,
AL,2703403,Jacaré dos Homens,31333.5008316017,21189.627067461,23480.2525369391,22371.2106932627,32030.8967491704,32376.9137186732,34660.4152747366,31597.8134912552,29607,30016.0843434143,33428.9877396527,29414.3858253757,26277.6481544122,30976.5426823088,29096.0270570728,31853.4037460283,27094.7222702388,29766.1401677092,33512.4077620651,34982.5382561434,
AL,2703502,Jacuípe,46879.2307916621,42558.5736120833,40838.6501966624,39650.1558041902,44134.5305403292,47229.7575690718,44753.4941886101,46637.2147518392,45266,44630.3806297074,38625.5934170341,42840.3230008562,58824.1036193682,42822.9151566651,41791.3218017831,104951.932315677,100394.17960238,91754.9122790534,81004.4579778718,90800.5530605214,
AL,2703601,Japaratinga,46791.6791073236,35649.6351989858,34984.6286434312,37624.9120519246,39622.4239429563,43638.9858992434,45373.3943045491,48332.955763414,45971,51402.0712967926,45658.4585396653,79596.9684963261,67736.7571762041,67697.9656597248,70303.7154806261,97555.6766038671,94462.0118709565,98299.001875167,95756.1444054093,117626.100744369,
AL,2703700,Jaramataia,33139.6119482269,21805.7343031424,27053.5439699752,24097.8009823443,24518.2744457984,24234.8638625504,25010.9490943637,26100.7502376209,24916,25411.1500492873,24750.5878370212,27657.7806296267,26608.1289351987,29621.41752257,27310.2357965111,32881.4263815739,31014.7549251402,29745.9128795268,32709.2287271251,36355.885301107,
AL,2703759,Jequiá da Praia,176801.834498026,180727.104752005,192445.103731175,191745.695921816,189121.436147624,171535.638315802,185135.185554843,182960.046508436,149850,194302.746821918,164698.018217192,158738.874414768,158615.28349092,140184.817448223,143273.747362013,152499.814964368,122698.661789396,143191.220519477,149539.587823946,178315.249612036,
