"","id_municipio","ano","share_feminino","share_esquerda","open","logPop","gdppc","vote_margin"
"4662",4211504,2016,0.0489001424275993,0.0889381231207469,0,9.53683442021335,23.2542210768296,-0.16108083033747
"4663",4211801,2016,0.0319073505081541,0.225951311746632,1,8.90666440977005,12.874705549104,-0.10425489009881
"4664",4211850,2020,0.280528052805281,0.298679867986799,1,7.69938940625674,28.3370111375915,-0.215420835785756
"4665",4211892,2012,0.413659078289839,0.0421987784564131,1,7.76259604854007,12.6412983173946,-0.135449262405007
"4666",4211892,2020,0.560615384615385,0.0486153846153846,1,7.76472054477148,14.9034097101596,-0.042192046556741
"4667",4212056,2016,0.219704433497537,0.0758620689655172,0,7.84854348245668,25.2423961735372,0.143730886850153
"4668",4212056,2020,0.461045891141942,0.0933831376734258,0,7.88231491898027,25.4722038767949,0.319854427820461
"4669",4212106,2016,0.0209594783418724,0.235211923614346,1,9.69627886423422,21.2268348275976,-0.479680213191206
"4670",4212239,2020,0.0382302405498282,0.393470790378007,0,8.11969625295725,21.2910167414689,0.126012309685779
"4671",4212254,2016,0.0265842349304482,0.201545595054096,0,9.00479112906292,9.60474055636584,-0.559391697492807
"4672",4212270,2008,0.00689995071463775,0.277476589452932,0,8.42901750051251,21.2105624917509,-0.161499639509733
"4673",4212601,2008,0.0209324452901998,0.109895337773549,1,8.00736706798333,16.7757546487729,-0.183529411764706
"4674",4212601,2012,0.0374133949191686,0.152424942263279,1,7.99023818572036,14.7229442590941,0.0335917312661498
"4675",4212601,2016,0.0443732845379689,0.200823421774931,0,7.96554557312999,17.8391894635763,0.0410048023642409
"4676",4213005,2008,0.12268803945746,0.109741060419236,1,8.01334318138667,22.2742280312454,-0.0937912813738441
"4677",4213005,2020,0.242147344374643,0.15648201027984,1,8.18757739559151,33.7059739106596,-0.0773528147829824
"4678",4213401,2020,0.182300884955752,0.311111111111111,0,9.36168712447071,11.3368461769726,-0.0990395213352228
"4679",4213708,2012,0.0599072052401747,0.131277292576419,1,9.62931383010914,16.4163106075552,0.230769230769231
"4680",4213807,2008,0.0116959064327485,0.204932621408594,1,8.89850220964664,11.2716901133202,-0.177947378991765
"4681",4214003,2020,0.0448075909330522,0.0469161834475488,0,9.78278776729834,23.0567608483519,-0.198775317946302
"4682",4214300,2008,0.0953649440596697,0.0825785828449654,1,7.96241568012106,20.3493067849982,-0.0403551251008878
"4683",4214300,2012,0.0391173520561685,0.154463390170512,1,7.92479591395644,18.6967983700921,-0.351760851760852
"4684",4214300,2020,0.207585853408508,0.0896975909789851,0,7.96797317966293,26.6594635082922,0.481366459627329
"4685",4214508,2012,0.0453861584754263,0.189568706118355,1,8.72306850116393,15.084341236256,-0.121783876500858
"4686",4214706,2016,0.0293905517490083,0.106022358456545,1,9.3321154289021,15.5483921924718,-0.129349046015713
"4687",4215059,2008,0.182068965517241,0.0255172413793103,0,7.82803803212583,10.2813740320381,-0.305772994129158
"4688",4215109,2008,0.0849187132480111,0.193531649948115,0,9.31883596812948,13.3760537619148,-0.136651703195141
"4689",4215208,2012,0.231206569804169,0.186355022109918,1,8.61141186665522,17.3738870983365,-0.0725484985384002
"4690",4215307,2016,0.0112359550561798,0.197850512945774,1,8.93774393694244,13.8085606997049,0.0345149253731343
"4691",4215307,2020,0.21379833206975,0.131918119787718,0,8.94363670590959,20.035864973835,0.142110552763819
"4692",4215505,2008,0.0173033408758153,0.057633435378677,0,9.67004110822602,14.6066683091625,-0.1050158340995
"4693",4215505,2012,0.203556100551809,0.221459227467811,1,9.67420016646143,14.7608681800084,-0.0746298320580343
"4694",4215505,2016,0.0374769068355767,0.18646080760095,1,9.71751935482198,14.334612957242,0.223299050632911
"4695",4215505,2020,0.20278764689806,0.203607543044548,0,9.73613342286396,17.0024118315442,0.235742296918768
"4696",4215604,2012,0.0184162062615101,0.098219766728054,1,7.63723438878947,13.4182984777449,0
"4697",4215604,2016,0.0123296560674886,0.0889033095392602,0,7.66528471847135,14.0581659441505,-0.0301109350237718
"4698",4215653,2008,0.00630204816565384,0.150799009678145,0,9.01286456741055,8.54244755389747,0.0162260711030082
"4699",4215653,2016,0.0330827067669173,0.118367346938776,0,9.02797881438221,9.83596075590768,-0.210812592714686
"4700",4215679,2008,0.0162548764629389,0.15236237537928,0,9.14013247693269,12.6041808556705,-0.19804318488529
"4701",4215679,2012,0.091557911908646,0.201876019575856,1,9.07749445864275,13.9578766694049,-0.236803157375432
"4702",4215679,2016,0.0119453924914676,0.151237201365188,1,9.08873755021693,13.4730145553532,0.0972316002700878
"4703",4215679,2020,0.0697963238946846,0.167908594138102,0,9.07943410212838,11.5990970764196,-0.000178189593727729
"4704",4215687,2020,0.228552717747217,0.465618860510805,1,7.77148876011762,12.9592227945317,0.141486810551559
"4705",4215703,2008,0.210210515610699,0.121732940099664,0,9.81279668725163,20.0510829680061,-0.394114688128773
"4706",4215802,2016,0.0251044971546558,0.0935690184821474,0,11.3131687961029,20.5478695497677,-0.364794416883881
"4707",4216008,2016,0.015096304008329,0.321707444039563,0,9.30909914399945,16.928768055975,-0.177742540002883
