ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2010,2609204,47,1,47,1,44
2010,2609808,154,8,151,2,151
2010,2610202,194,8,194,1,189
2010,2610400,136,0,136,0,133
2018,5201108,7772,7772,7772,1621,7721
2015,2206209,169,168,169,29,166
2015,2207900,431,426,431,31,429
2015,2509701,793,791,793,101,791
2015,2601607,101,94,101,14,100
2015,2607653,59,56,59,12,59
2015,2204501,64,64,64,3,64
2015,2102101,484,443,484,72,443
2015,2310308,343,343,343,36,342
2015,2601003,39,38,39,5,38
2015,2608107,27,24,27,5,26
2015,2903201,4718,4653,4718,1070,4678
2015,2910800,14702,12092,14701,1715,10771
2015,3509007,3358,3358,3351,758,3274
2015,3505708,6260,6175,6258,988,5803
2015,2930105,1296,1244,1296,218,1238
2022,4115200,8432,8413,8432,2239,8396
2022,4101507,1141,1140,1141,199,1139
2022,4128104,3381,3377,3381,664,3375
2022,4127304,75,74,75,16,75
2022,4127403,23,20,23,5,20
2022,4125803,31,30,31,2,30
2016,4119954,18,17,18,2,14
2016,4107652,1040,1032,1040,91,1029
2016,4113205,529,446,529,73,516
2016,4115804,1017,1016,1017,84,1014
2016,4106506,268,265,268,35,267
2016,4102802,143,142,143,25,138
2016,4128005,513,512,513,52,511
2016,4111704,83,52,83,7,83
2016,4120705,53,53,53,23,52
2016,3536307,219,158,218,25,141
2013,2313104,275,273,275,24,275
2013,2930774,45,38,45,12,37
2013,2904902,307,156,307,34,225
2013,2918001,4141,3770,4141,801,3941
2013,2917300,478,338,478,73,449
2013,2304103,2311,2261,2311,447,2299
2013,2306801,78,66,78,7,78
2013,2807402,91,78,91,20,78
2013,2305704,40,33,40,8,39
2013,2927002,252,248,252,45,248
2013,2309003,155,140,155,25,152
2013,2300200,1830,1820,1830,271,1820
2013,2301257,29,26,29,4,26
2013,2919603,49,38,49,7,49
2013,2304236,94,80,94,11,92
2013,2312601,56,52,56,17,55
2013,2919926,326,302,326,45,323
2013,2609303,109,108,109,26,107
2019,2103174,15,12,15,3,13
2019,2102325,1273,1211,1273,164,1257
2019,2106755,300,296,300,48,297
2019,2108009,234,234,234,32,234
2019,2104073,24,24,24,5,24
2019,2111532,47,43,47,13,44
2019,2106102,45,45,45,11,45
2019,2107258,33,33,33,3,33
2019,2106003,155,155,155,19,155
2019,2103802,245,244,245,35,245
2019,1500800,7021,4505,7021,586,5623
2019,1709500,2279,2277,2279,495,2270
2019,1508100,2587,2573,2587,673,2561
2017,3525904,9975,9975,9975,2300,9969
2017,3550605,2125,2088,2125,400,2103
2017,3503307,1817,1817,1817,399,1810
2017,3524709,860,860,860,138,858
2017,3501608,3826,3811,3826,693,3803
2017,3541505,487,487,487,78,483
2017,3536307,202,186,202,40,188
2017,3537305,1210,1204,1210,264,1210
2017,3542909,96,96,96,8,96
2017,3503901,2089,2088,2089,321,2069
2017,3554409,41,41,41,3,41
2017,3552601,17,17,17,3,17
2017,5008305,2179,2179,2179,452,2178
2017,3169901,2512,2504,2512,589,2494
2022,1301704,994,993,994,221,979
2022,1302207,200,200,200,47,198
2022,1301654,28,28,28,4,26
2022,1301001,559,559,559,108,545
2019,2700409,264,264,264,48,259
2019,2709400,179,164,179,21,175
2019,2708501,288,278,288,29,284
2019,1600535,99,99,99,19,97
2019,1302009,181,181,181,24,179
2019,2706406,162,160,162,15,162
2011,2110278,133,77,133,15,111
2011,2109809,498,340,498,62,476
2011,2108306,648,340,648,82,608
2011,2109106,770,0,767,0,764
2011,2100204,184,83,184,17,176
2011,2108256,182,93,182,29,160
2011,2107100,504,300,504,44,478
2011,2107209,142,80,142,10,133
2011,2102325,1354,657,1354,105,1323
2011,2112209,1605,949,1605,132,1551
2011,1506187,900,726,900,127,892
2011,2109700,26,0,26,0,26
2013,4321204,759,759,759,96,747
2013,4304200,291,287,291,66,288
2013,4302303,62,51,62,14,55
2013,4303004,1078,1078,1078,238,1067
2013,4306205,77,76,77,11,77
2013,4302352,78,78,78,13,78
2013,4322103,29,29,29,5,29
2013,4218707,3054,3029,3054,757,3018
2022,3203007,909,894,909,126,900
2022,3204807,65,63,65,6,63
2022,3203205,3332,3332,3332,562,3330
2022,3202801,1108,1108,1108,68,1107
2010,4126306,239,0,238,0,237
2010,4118204,2845,0,2845,0,2747
2010,4128401,98,0,98,0,98
2010,4122651,126,0,126,0,125
2010,4208203,3198,0,3198,0,3169
