"","id_municipio","ano","open"
"381",2706802,2008,0
"382",2706802,2012,0
"383",2706802,2016,1
"384",2706802,2020,0
"385",2706901,2008,1
"386",2706901,2012,1
"387",2706901,2016,0
"388",2706901,2020,0
"389",2707008,2008,1
"390",2707008,2012,1
"391",2707008,2016,0
"392",2707008,2020,1
"393",2707107,2008,1
"394",2707107,2012,0
"395",2707107,2016,1
"396",2707107,2020,0
"397",2707206,2008,0
"398",2707206,2012,0
"399",2707206,2016,1
"400",2707206,2020,0
"401",2707305,2008,0
"402",2707305,2012,1
"403",2707305,2016,0
"404",2707305,2020,0
"405",2707404,2008,0
"406",2707404,2012,1
"407",2707404,2016,1
"408",2707404,2020,0
"409",2707503,2008,1
"410",2707503,2012,1
"411",2707503,2016,0
"412",2707503,2020,0
"413",2707602,2008,0
"414",2707602,2012,1
"415",2707602,2016,1
"416",2707602,2020,0
"417",2707701,2008,1
"418",2707701,2012,0
"419",2707701,2016,1
"420",2707701,2020,0
"421",2707800,2008,1
"422",2707800,2012,1
"423",2707800,2016,0
"424",2707800,2020,1
"425",2707909,2008,0
"426",2707909,2012,1
"427",2707909,2016,1
"428",2707909,2020,1
"429",2708006,2008,0
"430",2708006,2012,1
"431",2708006,2016,1
"432",2708006,2020,1
"433",2708105,2008,0
"434",2708105,2012,1
"435",2708105,2016,1
"436",2708105,2020,0
"437",2708204,2008,1
"438",2708204,2012,0
"439",2708204,2016,1
"440",2708204,2020,1
"441",2708303,2008,0
"442",2708303,2012,1
"443",2708303,2016,0
"444",2708303,2020,1
"445",2708402,2008,0
"446",2708402,2012,0
"447",2708402,2016,1
"448",2708402,2020,1
"449",2708501,2008,0
"450",2708501,2012,1
"451",2708501,2016,1
"452",2708501,2020,0
"453",2708600,2008,0
"454",2708600,2012,1
"455",2708600,2016,1
"456",2708600,2020,0
"457",2708709,2008,1
"458",2708709,2012,0
"459",2708709,2016,1
"460",2708709,2020,0
"461",2708808,2008,0
"462",2708808,2012,1
"463",2708808,2016,1
"464",2708808,2020,0
"465",2708907,2008,1
"466",2708907,2012,0
"467",2708907,2016,0
"468",2708907,2020,1
"469",2708956,2008,0
"470",2708956,2012,1
"471",2708956,2016,1
"472",2708956,2020,0
"473",2709004,2008,1
"474",2709004,2012,1
"475",2709004,2016,1
"476",2709004,2020,0
"477",2709103,2008,0
"478",2709103,2012,1
"479",2709103,2016,0
"480",2709103,2020,1
"481",2709152,2008,1
"482",2709152,2012,0
"483",2709152,2016,1
"484",2709152,2020,1
"485",2709202,2008,0
"486",2709202,2012,0
"487",2709202,2016,1
"488",2709202,2020,1
"489",2709301,2008,1
"490",2709301,2012,1
"491",2709301,2016,1
"492",2709301,2020,0
"493",2709400,2008,1
"494",2709400,2012,0
"495",2709400,2016,1
"496",2709400,2020,0
"497",1300029,2008,1
"498",1300029,2012,0
"499",1300029,2016,1
"500",1300029,2020,0
"501",1300060,2008,1
"502",1300060,2012,0
"503",1300060,2016,1
"504",1300060,2020,0
"505",1300086,2008,1
"506",1300086,2012,0
"507",1300086,2016,1
"508",1300086,2020,1
"509",1300102,2008,1
"510",1300102,2012,0
"511",1300102,2016,1
"512",1300102,2020,1
"513",1300144,2008,1
"514",1300144,2012,0
"515",1300144,2016,0
"516",1300144,2020,1
"517",1300201,2008,1
"518",1300201,2012,0
"519",1300201,2016,0
"520",1300201,2020,1
"521",1300300,2008,1
"522",1300300,2012,0
"523",1300300,2016,1
"524",1300300,2020,0
"525",1300409,2008,1
"526",1300409,2012,0
"527",1300409,2016,1
"528",1300409,2020,0
"529",1300508,2008,1
"530",1300508,2012,0
"531",1300508,2016,1
"532",1300508,2020,0
"533",1300607,2008,0
"534",1300607,2012,1
"535",1300607,2016,0
"536",1300607,2020,0
"537",1300631,2008,1
"538",1300631,2012,0
"539",1300631,2016,0
"540",1300631,2020,0
"541",1300680,2008,0
"542",1300680,2012,0
"543",1300680,2016,0
"544",1300680,2020,0
"545",1300706,2008,1
"546",1300706,2012,1
"547",1300706,2016,0
"548",1300706,2020,0
"549",1300805,2008,0
"550",1300805,2012,1
"551",1300805,2016,0
"552",1300805,2020,0
"553",1300839,2008,1
"554",1300839,2012,0
"555",1300839,2016,0
"556",1300839,2020,1
"557",1300904,2008,0
"558",1300904,2012,0
"559",1300904,2016,1
"560",1300904,2020,0
"561",1301001,2008,1
"562",1301001,2012,0
"563",1301001,2016,1
"564",1301001,2020,0
"565",1301100,2008,1
"566",1301100,2012,0
"567",1301100,2016,0
"568",1301100,2020,0
"569",1301159,2008,1
"570",1301159,2012,0
"571",1301159,2016,0
"572",1301159,2020,0
"573",1301209,2008,1
"574",1301209,2012,1
"575",1301209,2016,1
"576",1301209,2020,0
"577",1301308,2008,1
"578",1301308,2012,0
"579",1301308,2016,0
"580",1301308,2020,1
"581",1301407,2008,0
"582",1301407,2012,1
"583",1301407,2016,1
"584",1301407,2020,0
"585",1301506,2008,0
"586",1301506,2012,0
"587",1301506,2016,0
"588",1301506,2020,1
"589",1301605,2008,1
"590",1301605,2012,1
"591",1301605,2016,0
