"","id_municipio","ano","sequencial","state","context_evento"
"41",2202752,2020,180001020312,"PI","alambrado e refletores vamos criar o festival do peixe a ser realizado no dia de abril aniversario da cidade o evento aquecera a economia local em razao da grande movimentacao de pessoas do nosso municipio e das cidades vizinhas educacao educacao"
"42",2202752,2020,180001020312,"PI","qualidade do ensino e aprendizagem ofertar cursos de capacitacao aos gestores escolares iv olimpiadas interdisciplinar do saber trata se de evento que sera realizado de dois em dois anos envolvendo todos os alunos e professores das escolas municipio receberao uma dose"
"43",2202752,2020,180001020312,"PI","colonia do gurgueia jemcg de forma a valorizar praticas esportivas apoiando em suas iniciativas equipe e materiais esportivos manter um evento cultural anualmente sendo este em parceria com a secretaria de cultura estabelecer um padrao de qualidade na rede municipal de"
"44",2202752,2020,180001164362,"PI","um espaco cultural para a realizacao de eventos e promover a feira cultural do municipio e dos povoados f promover evento cultural regional com festival envolvendo o clima cultura de raiz degustacao de produtos culinaria artesanato e atracoes culturais g viabilizar"
"45",2205904,2020,180001020280,"PI","cultural garantir o funcionamento das salas de recursos de atendimento educacional especializado aee olimpiadas interdisciplinar do saber trata se de evento que sera realizado de dois em dois anos envolvendo todos os alunos e professores das escolas municipio receberao uma dose"
"46",2205904,2020,180001020280,"PI","de manoel emidio jemme de forma a valorizar praticas esportivas apoiando em suas iniciativas equipe e materiais esportivos manter um evento cultural anualmente sendo este em parceria com a secretaria de cultura estabelecer um padrao de qualidade na rede municipal de"
"47",2207603,2020,180001116448,"PI","recuperar barragens de medio porte nas localidade da zona rural do municipio busca de parceria para construcao de centro de evento no bairro shis empreender esforcos junto ao governo do estado e agespisa para construcao de reservatorio de agua empreender esforcos"
"48",2208205,2016,180000003508,"PI","de campo como espaco de convivencia coletiva e democratizar o uso dos campos destinados a sua pratica resgatar o maior evento de futebol da cidade como a copa pio ix de futebol amador desenvolver o programa esporte na escola realizando atividades"
"49",2209559,2020,180000964220,"PI","de propiciar educacao de qualidade criar uma data especifica anual para comemorar o dia do evangelico no municipio com um evento que possa promover uma interacao entre as diversas doutrinas religiosas presentes no municipio reforcado na concepcao do estado laico expresso"
"50",2211506,2016,180000001040,"PI","aperfeicoamento realizacao de workshops para aprimorar o planejamento escolar o programa de incentivo de aprendizagem do aluno trata se de evento que sera realizado de dois em dois anos envolvendo todos os alunos e professores das escolas municipais em uma competicao"
"51",2304657,2016,60000014969,"CE","de uma associa do para a juventude com o proposito de buscar projetos voltados para os jovens e apoiar o evento graga open de velei como tambem expandi lo aos demais jovens das comunidades e revitalizar a liga esportiva no municipio"
"52",2309458,2020,60000667105,"CE","culturais levar a banda de musica municipal para as comunidades rurais atraves de ensaios abertos periodicos nos distritos realizar o evento cajumel aproximar a secretaria de cultura das igrejas e das festas de padroeiros valorizar os icones da cultura municipal de"
"53",2402303,2016,200000007138,"RN","de necessidade especiais e as pessoas que participam de programas de saude como hipertensos diabeticos e outros resgatar o maior evento de futebol da cidade como a copa caraubense de futebol amador numa perspectiva de elevar o nosso esporte as categorias"
"54",2402709,2016,200000004481,"RN","incluindo toda a diversidade musical existente com foco na juventude mais que agregue a participacao de todas as faixas etarias evento a ser realizado durante um final de semana em data escolhida estrategicamente e viabilizada com patrocinios e atrair maior numero"
"55",2402709,2020,200000847448,"RN","incluindo toda a diversidade musical existente com foco na juventude mais que agregue a participacao de todas as faixas etarias evento a ser realizado durante um final de semana em data escolhida estrategicamente e viabilizada com patrocinios e atrair maior numero"
"56",2409332,2020,200001030998,"RN","campo e na cidade criacao de um curso preparatorio gratuito para o enem e concursos criacao do festival da juventude evento que reunira atividades diversas com o publico jovem de santa maria criacao do programa jovem agricultor para incentivar na juventude"
"57",2412104,2016,200000002243,"RN","locais e incentivo a associacao dos artesaos de sao joao do sabugi incentivo aos artistas da terra na participacao de evento regionais e nacionais apoio aos grupos de teatro locais apoio a literatura de cordel resgate da cultura popular desfiles da"
"58",2504801,2016,150000006819,"PB","mercado atletas profissionais para disputa de campeonatos regionais investimento na semana universitaria tornando a em parceria com a comunic um evento regional de interacao jovem esporte e lazer desenvolver atividades de lazer em todo o municipio em espacos publicos nos lazer"
"59",2505105,2020,150000687083,"PB","olimpiadas com premiacao a nivel municipal consolidar e estimular a participacao na mostra cientifica cuiteense da educacao basica tornando um evento anual infraestrutura a pasta da infraestrutura pensa muito na mobilidade desenvolvimento e na conservacao e construcao de imoveis publicos do"
"60",2505105,2020,150000687083,"PB","e adequada para abrangencia do maior numero possivel de pessoas respeitando as medidas de seguranca continuar apoiando e incentivando o evento paixao de cristo com artistas da terra em parceria com a universidade federal de campina grande ces cuite pb e"
"61",2505105,2020,150001036791,"PB","etc manutencao e ampliacao da patrulha mecanizada rural ampliacao na protecao das matas nativas do municipio agricola criacao de um evento anual de exposicao agropecuaria incentivar a criacao de associacoes e cooperativas para o desenvolvimento educacao a educacao e pilar de"
