"","id_municipio","ano","saude","saneamento","turismo","comercio","agro","gastos"
"217",2703007,2008,12029124.52,119528.54,0,0,286418.22,95047517.44
"218",2703007,2012,14815731.62,NA,NA,NA,154664.92,96473175.39
"219",2703007,2016,14991321.56,NA,385608.43,385608.43,60062.5,115805757.75
"220",2703007,2020,32104795.42,NA,1484449.76,1484449.76,387561.07,241084264.23
"221",2703106,2008,NA,NA,NA,NA,NA,NA
"222",2703106,2012,27897267.56,595378.42,NA,NA,7621384.72,172213244.46
"223",2703106,2016,31729353.42,NA,NA,NA,2074797.51,200469420.6
"224",2703106,2020,52000127.48,NA,NA,NA,4034445.64,452080481.03
"225",2703205,2008,14481766.16,0,0,0,1234737.66,156760154.64
"226",2703205,2012,22009212.82,NA,NA,NA,1402950.86,140341041.18
"227",2703205,2016,27981735.24,193464.28,NA,NA,1154813.47,201080078.1
"228",2703205,2020,NA,NA,NA,NA,NA,NA
"229",2703304,2008,NA,NA,NA,NA,NA,NA
"230",2703304,2012,14157284.18,15936,NA,NA,1479543.48,123021231.09
"231",2703304,2016,20945273.98,NA,NA,NA,1773429.68,154687102.59
"232",2703304,2020,35890010.87,385485.5,NA,NA,1311716.06,413943465.12
"233",2703403,2008,4726370.86,0,0,0,504000,52010922.2
"234",2703403,2012,5866260.06,NA,NA,NA,NA,51496223.7
"235",2703403,2016,10180779.12,NA,NA,NA,NA,85626938.64
"236",2703403,2020,17354179.42,NA,NA,NA,NA,131237724.81
"237",2703502,2008,4481461.64,0,21705.42,21705.42,43611,52227642.52
"238",2703502,2012,5168898.32,NA,NA,NA,489113.84,49702202.13
"239",2703502,2016,6518074.45,NA,NA,NA,96368,83212431.27
"240",2703502,2020,17872632.44,NA,NA,NA,21331.2,197457944.06
"241",2703601,2008,NA,NA,NA,NA,NA,NA
"242",2703601,2012,6198307.64,NA,NA,NA,202982.52,53679326.04
"243",2703601,2016,NA,NA,NA,NA,NA,82247137.95
"244",2703601,2020,18996831.35,NA,NA,NA,147244.2,187510346.01
"245",2703700,2008,5431497.9,0,0,0,374538.89,48371527.52
"246",2703700,2012,NA,NA,NA,NA,NA,NA
"247",2703700,2016,8635984.49,NA,NA,NA,413153.67,68923912.56
"248",2703700,2020,20756692.73,NA,NA,NA,2184648.52,153905110.86
"249",2703759,2008,9147842.66,856175.56,0,0,655466.92,104489612.36
"250",2703759,2012,15478431.2,1268818.38,NA,179552.93,730902.34,110115987.63
"251",2703759,2016,17245043.89,765029.29,NA,395995.11,206604.86,146759445.39
"252",2703759,2020,30485488.06,7764753.26,NA,23011.66,NA,259893289.36
"253",2703809,2008,18934327.48,0,0,0,383365.98,125066589.76
"254",2703809,2012,23396046.8,NA,NA,NA,720810.3,126450538.02
"255",2703809,2016,30265552.92,29227.08,NA,NA,801395.62,187982192.34
"256",2703809,2020,NA,NA,NA,NA,NA,NA
"257",2703908,2008,4249936.48,0,0,0,0,44330412.6
"258",2703908,2012,5610829.6,NA,NA,NA,1383873.66,45572605.14
"259",2703908,2016,5143747.99,NA,NA,NA,1448085.29,66840453.87
